RTSB;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону"""
RTSBP;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону"""
YRSB;"Публичное акционерное общество ""ТНС энерго Ярославль"""
YRSBP;"Публичное акционерное общество ""ТНС энерго Ярославль"""
TASB;"Публичное акционерное общество ""Тамбовская энергосбытовая компания"""
TASBP;"Публичное акционерное общество ""Тамбовская энергосбытовая компания"""
TANL;"Публичное акционерное общество ""Тантал"""
TANLP;"Публичное акционерное общество ""Тантал"""
TTLK;"Публичное акционерное общество ""Таттелеком"""
TGKB;"Публичное акционерное общество ""Территориальная генерирующая компания №2"""
TGKBP;"Публичное акционерное общество ""Территориальная генерирующая компания №2"""
TORS;"Публичное акционерное общество ""Томская распределительная компания"""
TORSP;"Публичное акционерное общество ""Томская распределительная компания"""
TRFM;"Публичное акционерное общество ""ТрансФин-М"""
;"Публичное акционерное общество ""ТрансФин-М"""
TUZA;"Публичное акционерное общество ""Туймазинский завод автобетоновозов"""
TUCH;"Публичное акционерное общество ""Тучковский комбинат строительных материалов"""
UKUZ;"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс"""
URKA;"Публичное акционерное общество ""Уралкалий"""
URKZ;"Публичное акционерное общество ""Уральская кузница"""
LIFE;"Публичное акционерное общество ""Фармсинтез"""
HKOL;"Публичное акционерное общество ""ХОРОШИЕ КОЛЕСА"""
HIMC;"Публичное акционерное общество ""Химпром"""
HIMCP;"Публичное акционерное общество ""Химпром"""
TRCN;"Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер"""
CNTL;"Публичное акционерное общество ""Центральный телеграф"""
CNTLP;"Публичное акционерное общество ""Центральный телеграф"""
PRFN;"Публичное акционерное общество ""Челябинский завод профилированного стального настила"""
CHKZ;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод"""
CHMK;"Публичное акционерное общество ""Челябинский металлургический комбинат"""
CHEP;"Публичное акционерное общество ""Челябинский трубопрокатный завод"""
ELTZ;"Публичное акционерное общество ""Электроцинк"""
UNKL;"Публичное акционерное общество ""Южно-Уральский никелевый комбинат"""
YAKG;"Публичное акционерное общество ""Якутская топливно-энергетическая компания"""
YKEN;"Публичное акционерное общество ""Якутскэнерго"""
YKENP;"Публичное акционерное общество ""Якутскэнерго"""
VZRZ;"Публичное акционерное общество Банк ""Возрождение"""
VZRZP;"Публичное акционерное общество Банк ""Возрождение"""
KUZB;"Публичное акционерное общество Банк ""Кузнецкий"""
DIOD;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД"""
MOBB;Публичное акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК
NAUK;"Публичное акционерное общество Научно-производственное объединение ""Наука"""
OMZZP;Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора)
ROSB;Публичное акционерное общество РОСБАНК
RGSS;"Публичное акционерное общество Страховая Компания ""Росгосстрах"""
KCHE;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго"""
KCHEP;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго"""
LSNG;"Публичное акционерное общество энергетики и электрификации ""Ленэнерго"""
LSNGP;"Публичное акционерное общество энергетики и электрификации ""Ленэнерго"""
MAGE;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго"""
MAGEP;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго"""
SAGO;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго"""
SAGOP;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго"""
SLEN;"Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго"""
KUBE;Публичное акционерное общество энергетики и электрификации Кубани
PRMB;"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество)"
KMEZ;"публичное акционерное общество ""Ковровский механический завод"""
